Date,Symbol,TradeType,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ExitReason
15-03-2024,AARTIIND,Sell,09:35:00,635.5,09:40:00,637.55,-2.05,Stop Loss Hit
18-03-2024,AARTIIND,Buy,11:55:00,640.2,14:30:00,644.3,4.1,Target Hit
19-03-2024,AARTIIND,Sell,09:20:00,640.8,09:25:00,643.05,-2.25,Stop Loss Hit
20-03-2024,AARTIIND,Sell,10:20:00,634.1,10:25:00,635.8,-1.7,Stop Loss Hit
21-03-2024,AARTIIND,Buy,09:25:00,646.2,09:45:00,644,-2.2,Stop Loss Hit
22-03-2024,AARTIIND,Buy,09:20:00,653.1,09:25:00,650.55,-2.55,Stop Loss Hit
26-03-2024,AARTIIND,Buy,09:25:00,655.55,09:55:00,652.5,-3.05,Stop Loss Hit
27-03-2024,AARTIIND,Sell,10:00:00,654.5,10:15:00,656.5,-2,Stop Loss Hit
27-03-2024,AARTIIND,Buy,10:40:00,660.5,10:50:00,657.4,-3.1,Stop Loss Hit
28-03-2024,AARTIIND,Sell,09:55:00,654.5,10:40:00,656.7,-2.2,Stop Loss Hit
28-03-2024,AARTIIND,Buy,12:30:00,661.95,13:45:00,668.05,6.1,Target Hit
01-04-2024,AARTIIND,Buy,09:20:00,676.95,09:25:00,674.75,-2.2,Stop Loss Hit
01-01-2024,ABB,Buy,09:25:00,4710.4,09:35:00,4681.55,-28.85,Stop Loss Hit
